# Last Sanctuary 스트링 테이블 — Tools/gen_string_table.py 가 생성한다. 직접 고치지 말 것.
# 원본: 데이터 테이블/스트링 키 테이블.xlsx
string_key	kr	en	es	fr	de	ja	ru	pt	pl
event_dialogue_10001									
ui_btn_open	열기	Open	Abrir	Ouvrir	Öffnen	開く	Открыть	Abrir	Otwórz
ui_btn_close	닫기	Close	Cerrar	Fermer	Schließen	閉じる	Закрыть	Fechar	Zamknij
epic_boss_title_1103	얼금뱅이 소	The Pocked Cow	La Vaca Picada	La Vache Grêlée	Die Pockennarbige Kuh	痘痕の牛	Рябая корова	A Vaca Marcada	Dziobata Krowa
epic_boss_title_1102	끈적이는 보랏빛 포식자	The Sticky Purple Predator	El Depredador Púrpura Pegajoso	Le Prédateur Pourpre Poisseux	Der Klebrige Purpurne Räuber	粘つく紫の捕食者	Липкий багровый хищник	O Predador Púrpura Pegajoso	Lepki Purpurowy Drapieżnik
epic_boss_title_1101	검은 숲의 종양	The Tumor of the Black Forest	El Tumor del Bosque Negro	La Tumeur de la Forêt Noire	Der Tumor des Schwarzen Waldes	黒き森の腫瘍	Опухоль Чёрного леса	O Tumor da Floresta Negra	Guz Czarnego Lasu
boss_title_120001	끝없는 형상의 군주	The Lord Of Endless Forms	El Señor de las Formas Infinitas	Le Seigneur des Formes Infinies	Der Herr der Endlosen Gestalten	終わりなき形の王	Владыка бесконечных форм	O Senhor das Formas Infinitas	Pan Nieskończonych Kształtów
boss_title_120002	구속의 공작	The Imprisoning Duke	El Duque Encarcelador	Le Duc Geôlier	Der Kerkernde Herzog	拘束の公爵	Герцог оков	O Duque Aprisionador	Książę Okowów
character_name_9001	엘린	Elin	Elin	Elin	Elin	エリン	Элин	Elin	Elin
character_name_9002	비기오르	Bigior	Bigior	Bigior	Bigior	ビギオル	Бигиор	Bigior	Bigior
character_name_9003	프레이야	Preyja	Preyja	Preyja	Preyja	プレイヤ	Прейя	Preyja	Preyja
character_name_9005	히스톤	Histon	Histon	Histon	Histon	ヒストン	Хистон	Histon	Histon
const_name_10001	성역의 심장부	Heart Of Sanctuary							
const_name_10002	포탑	Turret							
mental_error_name_40001	혼란	Confusion							
mental_error_name_40002	진정	Calm							
mental_error_name_40003	각성	Arousal							
mental_error_name_40004	공포	Fear							
mental_error_name_40005	우울	Depression							
mental_error_name_40006	광분	Frenzy							
mental_error_name_40007	고조	Upsurge							
mental_error_name_40008	자해	Self-Harm							
mental_error_name_40009	피학	Masochism							
